name,hub_type,state,city,latitude,longitude,operator,capacity_notes,source_url
FCI FSD Moga,foodgodown,Punjab,Moga,30.7986,75.1720,Food Corporation of India (FCI),North Zone; among FCI's largest owned food storage depots; major paddy procurement hub; city-level location,https://fci.gov.in/
FCI Depot Sangrur,foodgodown,Punjab,Sangrur,30.2361,75.8450,Food Corporation of India (FCI),North Zone; FCI food storage depot in paddy procurement belt; city-level location,https://fci.gov.in/
FCI Depot Surat,foodgodown,Gujarat,Surat,21.1702,72.8311,Food Corporation of India (FCI),West Zone; FCI food storage depot; city-level location,https://fci.gov.in/
FCI Depot Rajkot,foodgodown,Gujarat,Rajkot,22.3039,70.8022,Food Corporation of India (FCI),West Zone; FCI food storage depot for Saurashtra; city-level location,https://fci.gov.in/
FCI Depot Gandhidham,foodgodown,Gujarat,Gandhidham (Kandla),23.0810,70.1320,Food Corporation of India (FCI),West Zone; FCI depot near Kandla port for imported/evacuated foodgrain; city-level location,https://fci.gov.in/
FCI FSD Ujjain,foodgodown,Madhya Pradesh,Ujjain,23.1793,75.7849,Food Corporation of India (FCI),West Zone; food storage depot recognised in FCI best-depot awards; city-level location,https://www.instagram.com/p/DZxID5RCYV3/
FCI Depot Bhopal,foodgodown,Madhya Pradesh,Bhopal,23.2599,77.4126,Food Corporation of India (FCI),West Zone; MP regional depot; city-level location,https://fci.gov.in/
FCI Depot Indore,foodgodown,Madhya Pradesh,Indore,22.7196,75.8577,Food Corporation of India (FCI),West Zone; FCI food storage depot; city-level location,https://fci.gov.in/
FCI Depot Gwalior,foodgodown,Madhya Pradesh,Gwalior,26.2183,78.1828,Food Corporation of India (FCI),West Zone; FCI food storage depot; city-level location,https://fci.gov.in/
FCI FSD Niwari,foodgodown,Madhya Pradesh,Niwari (Tikamgarh district),24.9000,78.5500,Food Corporation of India (FCI),West Zone; depot recognised in FCI depot-level awards; city-level location,https://www.instagram.com/p/DZxID5RCYV3/
FCI FSD Shahdol,foodgodown,Madhya Pradesh,Shahdol,23.0300,81.3610,Food Corporation of India (FCI),West Zone; depot recognised in FCI depot-level awards; city-level location,https://www.instagram.com/p/DZxID5RCYV3/
FCI FSD Durg,foodgodown,Chhattisgarh,Durg,21.1904,81.2849,Food Corporation of India (FCI),West Zone; food storage depot recognised in FCI best-depot awards; city-level location,https://www.instagram.com/p/DZxID5RCYV3/
FCI Depot Raipur,foodgodown,Chhattisgarh,Raipur,21.2514,81.6296,Food Corporation of India (FCI),West Zone; Chhattisgarh regional depot; city-level location,https://fci.gov.in/
FCI Depot Hyderabad,foodgodown,Telangana,Hyderabad,17.3850,78.4867,Food Corporation of India (FCI),South Zone; Telangana/SCO regional depot; city-level location,https://fci.gov.in/
FCI Depot Vijayawada,foodgodown,Andhra Pradesh,Vijayawada,16.5062,80.6480,Food Corporation of India (FCI),South Zone; FCI food storage depot; city-level location,https://fci.gov.in/
FCI Depot Visakhapatnam,foodgodown,Andhra Pradesh,Visakhapatnam,17.6868,83.2185,Food Corporation of India (FCI),South Zone; FCI depot near major port for coastal supply; city-level location,https://fci.gov.in/
FCI Depot Guntur,foodgodown,Andhra Pradesh,Guntur,16.3067,80.4365,Food Corporation of India (FCI),South Zone; FCI food storage depot in paddy region; city-level location,https://fci.gov.in/
FCI Depot Tirupati,foodgodown,Andhra Pradesh,Tirupati,13.6288,79.4192,Food Corporation of India (FCI),South Zone; FCI food storage depot; city-level location,https://fci.gov.in/
FCI Depot Bengaluru,foodgodown,Karnataka,Bengaluru,12.9716,77.5946,Food Corporation of India (FCI),South Zone; Karnataka regional depot; city-level location,https://fci.gov.in/
FCI FSD Whitefield,foodgodown,Karnataka,Bengaluru (Whitefield),12.9698,77.7490,Food Corporation of India (FCI),South Zone; food storage depot recognised in FCI best-depot awards; city-level location,https://www.instagram.com/p/DZxID5RCYV3/
FCI Depot Mysuru,foodgodown,Karnataka,Mysuru,12.2958,76.6394,Food Corporation of India (FCI),South Zone; FCI food storage depot; city-level location,https://fci.gov.in/
FCI Depot Hubballi,foodgodown,Karnataka,Hubballi,15.3647,75.1240,Food Corporation of India (FCI),South Zone; FCI food storage depot for north Karnataka; city-level location,https://fci.gov.in/
FCI FSD Koppal,foodgodown,Karnataka,Koppal,15.3477,76.1548,Food Corporation of India (FCI),South Zone; food storage depot recognised in FCI best-depot awards; city-level location,https://www.instagram.com/p/DZxID5RCYV3/
FCI Depot Kalaburagi (Gulbarga),foodgodown,Karnataka,Kalaburagi,17.3290,76.8363,Food Corporation of India (FCI),South Zone; FCI food storage depot for Hyderabad-Karnataka region; city-level location,https://fci.gov.in/
FCI Depot Chennai,foodgodown,Tamil Nadu,Chennai,13.0827,80.2707,Food Corporation of India (FCI),South Zone; Tamil Nadu regional depot; city-level location,https://fci.gov.in/
FCI Depot Madurai,foodgodown,Tamil Nadu,Madurai,9.9252,78.1198,Food Corporation of India (FCI),South Zone; FCI food storage depot; city-level location,https://fci.gov.in/
FCI Depot Tiruchirappalli,foodgodown,Tamil Nadu,Tiruchirappalli,10.7905,78.7047,Food Corporation of India (FCI),South Zone; FCI food storage depot; city-level location,https://fci.gov.in/
FCI Depot Coimbatore,foodgodown,Tamil Nadu,Coimbatore,11.0168,76.9558,Food Corporation of India (FCI),South Zone; FCI food storage depot; city-level location,https://fci.gov.in/
FCI Depot Kochi,foodgodown,Kerala,Kochi,9.9312,76.2673,Food Corporation of India (FCI),South Zone; FCI depot for central Kerala; city-level location,https://fci.gov.in/
FCI Depot Kozhikode,foodgodown,Kerala,Kozhikode,11.2588,75.7804,Food Corporation of India (FCI),South Zone; FCI depot for northern Kerala; city-level location,https://fci.gov.in/
FCI Depot Guwahati,foodgodown,Assam,Guwahati,26.1445,91.7362,Food Corporation of India (FCI),North-East Zone; Assam regional depot and NE zonal hub; city-level location,https://fci.gov.in/
FCI Depot Dibrugarh,foodgodown,Assam,Dibrugarh,27.4728,94.9120,Food Corporation of India (FCI),North-East Zone; FCI depot for upper Assam; city-level location,https://fci.gov.in/
FCI Depot Jorhat,foodgodown,Assam,Jorhat,26.7509,94.2037,Food Corporation of India (FCI),North-East Zone; FCI food storage depot; city-level location,https://fci.gov.in/
FCI Depot Silchar,foodgodown,Assam,Silchar,24.8333,92.7789,Food Corporation of India (FCI),North-East Zone; FCI depot for Barak valley; city-level location,https://fci.gov.in/
FCI Depot Agartala,foodgodown,Tripura,Agartala,23.8315,91.2868,Food Corporation of India (FCI),North-East Zone; FCI depot supplying Tripura; city-level location,https://fci.gov.in/
FCI Depot Dimapur,foodgodown,Nagaland,Dimapur,25.9063,93.7276,Food Corporation of India (FCI),North-East Zone; FCI depot for Nagaland; city-level location,https://fci.gov.in/
FCI Depot Imphal,foodgodown,Manipur,Imphal,24.8170,93.9368,Food Corporation of India (FCI),North-East Zone; FCI depot supplying Manipur; city-level location,https://fci.gov.in/
FCI Depot Shillong,foodgodown,Meghalaya,Shillong,25.5788,91.8933,Food Corporation of India (FCI),North-East Zone; FCI depot for Meghalaya; city-level location,https://fci.gov.in/
FCI Depot Itanagar,foodgodown,Arunachal Pradesh,Itanagar,27.0844,93.6053,Food Corporation of India (FCI),North-East Zone; FCI depot for Arunachal Pradesh; city-level location,https://fci.gov.in/
FCI Depot Gangtok,foodgodown,Sikkim,Gangtok,27.3389,88.2663,Food Corporation of India (FCI),North-East Zone; FCI depot for Sikkim; city-level location,https://fci.gov.in/
